wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
335,12.046,14.534,18.763,14.921,15.507,29.88,32.764,25.89,41.59,7.307
335.5,11.945,14.427,18.584,14.829,15.331,29.588,32.398,25.614,41.418,7.294
336,11.901,14.261,18.422,14.745,15.204,29.263,32.035,25.303,41.318,7.253
336.5,11.814,14.18,18.258,14.613,15.09,28.983,31.775,25.027,41.217,7.234
337,11.728,14.045,18.048,14.47,14.912,28.601,31.299,24.644,41.079,7.149
337.5,11.607,13.916,17.885,14.334,14.761,28.204,30.81,24.238,40.957,07.09
338,11.57,13.857,17.668,14.144,14.613,27.735,30.362,23.777,40.778,7.041
338.5,11.35,13.621,17.526,14.052,14.567,27.459,30.109,23.562,40.679,7.091
339,11.196,13.49,17.368,13.947,14.532,27.173,29.796,23.396,40.566,7.12
339.5,11.007,13.242,17.25,13.851,14.439,26.942,29.54,23.188,40.47,7.173
340,10.822,13.077,17.112,13.667,14.302,26.748,29.312,22.972,40.423,7.209
340.5,10.763,12.96,16.977,13.538,14.171,26.451,29.04,22.769,40.321,7.235
341,10.76,12.904,16.803,13.397,14.033,26.063,28.747,22.42,40.226,7.229
341.5,10.61,12.762,16.655,13.285,13.866,25.722,28.427,22.072,40.138,7.246
342,10.513,12.636,16.494,13.154,13.663,25.301,28.081,21.742,40.032,7.205
342.5,10.358,12.55,16.408,13.064,13.556,24.924,27.661,21.381,39.905,7.214
343,10.259,12.439,16.253,12.948,13.416,24.583,27.185,20.981,39.692,7.199
343.5,10.033,12.278,16.101,12.845,13.331,24.2,26.764,20.672,39.506,7.179
344,9.84,12.132,15.965,12.784,13.268,23.953,26.407,20.5,39.383,7.225
344.5,9.703,11.935,15.814,12.703,13.19,23.766,26.081,20.289,39.326,7.285
345,9.575,11.786,15.646,12.561,13.017,23.567,25.764,20.023,39.222,7.333
345.5,9.565,11.656,15.454,12.395,12.878,23.249,25.382,19.718,39.07,7.351
346,9.504,11.532,15.251,12.215,12.716,23.065,25.124,19.477,38.994,7.445
346.5,9.339,11.341,15.022,12.036,12.501,22.74,24.818,19.21,38.942,7.475
